source,target,annotator,id,Cohesion_value,Informativeness_value,source_file,total_score
"Canceling the meeting, called a summit, could make it worse.
They don't agree about the civil war in Syria.
Russia also decided to stop U.S. citizens from adopting Russian children.
The United States is upset with Russia because of possible human rights violations.
Obama also has criticized a new law in Russia that is called unfair to gays and lesbians.",Moscow has its own complaints.,Annotator1,2-3,cohesive,Level_1,Batch1+2_Annotations.csv,
"They say farming makes global warming even worse.
They believe people should eat food that comes from plants.
The scientists, though, say these new animals will feed the world.
The government is spending millions of dollars on their studies.
In about 35 years, there may be as many as 9 billion people on Earth.","Now, there are about 7 billion.",Annotator1,2-4,cohesive,Level_1,Batch1+2_Annotations.csv,
"When she was 11, she snuck into the United States.
She knew that at anytime she could be sent back to Honduras.
Now, she doesn't have to look over her shoulder all the time.
The government is letting some people who came here illegally before age 16 stay, at least for the time being.
Navarro still cannot start the process to become a citizen.",But she can't be sent back to Honduras anytime soon.,Annotator1,2-5,cohesive,Level_2,Batch1+2_Annotations.csv,
"To do nothing would mean the world is going back on its word, he explained.
""What are you going to do about it?""
Obama asked about the innocent people who were poisoned.
But not many countries support Obama's plan to fire missiles at Syria.
At least not yet.",Some are worried about getting into another war in the area without knowing the facts.,Annotator1,2-6,cohesive,Level_2,Batch1+2_Annotations.csv,
"Then there was another shooting at a school in Newtown, Conn. Twenty-six people were killed.
The new Colorado laws said that guns should only hold 15 bullets at once.
People who want to buy guns would also have to have a background check.
Some gun owners and their supporters said that their opinions were ignored when the laws were made.
Morse said he would continue to fight for gun control.",He thinks that the laws he made make Colorado safer.,Annotator1,2-7,cohesive,Level_2,Batch1+2_Annotations.csv,
"I think this is definitely a risk, he said.
The agreement is a remarkable event in Syria's civil war.
More than 100,000 people from both sides have been killed during the war.
A total of 6.5 million people have been forced from their homes in the past 30 months.
There also seemed to be no way the United States and Russia could agree about how the conflict should be resolved.",At least not until recently.,Annotator1,2-8,cohesive,Level_1,Batch1+2_Annotations.csv,
"This one didn't.
""It wouldn't fluke up,"" said Nancy Black, an ocean scientist.
She was on board the Point Sur that day.
Black was speaking of the tail flip that humpbacks perform before diving to feed.
She also noticed several buoys were trailing behind it.","Buoys float in the water, marking where fishermen left their traps.",Annotator1,2-9,cohesive,Level_2,Batch1+2_Annotations.csv,
"Kyle and Scott want to help their friend get back to California.
They also want to stay in touch with Rodrigo.
They thought that a video game called Minecraft would help them do that.
Rodrigo and his classmates used to play Minecraft at each other's houses.
Players have to work together to build things.",They do not play against each another.,Annotator1,2-10,cohesive,Level_1,Batch1+2_Annotations.csv,
"Some played dead.
At least 68 people were killed and 175 wounded Saturday at the mall shooting.
It was Kenya's worst terror attack in 15 years, said President Uhuru Kenyatta.
A group from Somalia took responsibility for the attack.
It is called the Shabab.",The group is made up of Islamic fighters.,Annotator1,2-11,cohesive,Level_2,Batch1+2_Annotations.csv,
"But he does not want to upset people at home.
He said the United States and Iran can ""turn threats into opportunities.""
But he also has condemned U.S. ""military interference.""
He insisted that Iran's nuclear program is something it will not surrender.
Analysts say Obama must be careful not to look too eager to make a deal.",That would hurt his ability to bargain.,Annotator1,2-12,cohesive,Level_2,Batch1+2_Annotations.csv,
"Some drone uses are against the law.
They can't get in the way of airplanes.
Also, people can't use them to spy on their neighbors.
But drones mainly take pictures of nature.
And they record historic moments, like the celebration of the Kings' hockey victory.","Still, many people don't like the idea of appearing in some stranger's video on the Internet.",Annotator1,2-13,cohesive,Level_3,Batch1+2_Annotations.csv,
"Better slip the doctor some money.
""I'm absolutely disgusted by it, but this is how our system works,"" said Luo, a math teacher.
Luo is fighting hard to change things.
The Chinese government has also started speaking out against overly expensive gifts.
Such gifts are often really bribes.",They are given to an important person to get something in return.,Annotator1,2-14,cohesive,Level_2,Batch1+2_Annotations.csv,
"Or a $3 million villa on the French Riviera.
That's what former government official Bo Xilai got.
Bo was recently sentenced to life in prison for accepting bribes.
China's population is enormous.
Battles for education, health care, jobs and promotions can be tough.",Gifts are widely seen as a way to gain some advantage.,Annotator1,2-15,cohesive,Level_2,Batch1+2_Annotations.csv,
"The two researchers decided to compare his brain with the brains of both old and young men.
Einstein's corpus callosum was much thicker than those of 15 men his age.
Compared to 52 young men, it was thicker in five important spots.
So Einstein's large corpus callosum may explain his genius.
It may have helped the two sides of his brain communicate faster than usual.",But scientist Peter U. Tse thinks there may be another explanation.,Annotator1,2-16,cohesive,Level_1,Batch1+2_Annotations.csv,
"Experts are now deciding whether or not to change the advice given swimmers.
Some feel people should still be told to swim parallel to shore.
Others feel they should be told to float and wait.
The ""float and wait"" approach does have its dangers.
In a handful of cases, swimmers would be forced into deeper water.",No one knows right now if the experts' advice will change.,Annotator1,2-17,cohesive,Level_1,Batch1+2_Annotations.csv,
"It might not be for more than a year.
Even without that information, the government is coming up with ideas to help protect the animals.
These include planting new trees.
There may also be some logging.
The idea is to save certain species from being wiped out.","That effort was interrupted for more than two weeks this month, though.",Annotator1,2-18,cohesive,Level_1,Batch1+2_Annotations.csv,
"Hitler's Germany killed between 250,000 and 500,000 Roma.
But the hate hardly ended after World War II.
Romani Rose is head of a Roma group in Germany.
He said hate toward Roma people remains widespread there.
His people still suffer unfair and insulting treatment, he said.",They are the last in Europe to get jobs.,Annotator1,2-19,cohesive,Level_2,Batch1+2_Annotations.csv,
"Philadelphia is the poorest of the 10 biggest U.S. cities.
It also has a high amount of smoking for a big city, according to a health department report.
In Philadelphia, smoking is more common among the poor than people who aren't poor, said Giridhar Mallya.
He works for the Philadelphia Department of Public Health.
Being poor can be very hard on a person's mind.","It is not easy to relax, or to feel positive.",Annotator1,2-20,cohesive,Level_2,Batch1+2_Annotations.csv,
"People can even see them from above.
SeaWorld will also study orcas in the ocean.
It will have a team of scientists.
The scientists will watch over SeaWorld's orcas.
They will see if the orcas are happy.",But PETA is unhappy.,Annotator1,2-21,incohesive,,Batch1+2_Annotations.csv,
"DAVIE, Fla. – Richie Incognito and Jonathan Martin played on the offensive line for the Miami Dolphins.
They were teammates.
But that did not mean the football players got along.
People who know Martin say that Incognito bullied the younger player.
Dolphins coach Joe Philbin suspended Incognito from the team.",The story shows that bullying may be more than just a problem in schools.,Annotator1,2-22,cohesive,Level_2,Batch1+2_Annotations.csv,
"The U.S. is handling the situation with immigrant children today just like it did for the kids at Vincennes.
It's just happening in a much larger way.
U.S. law protects people who have been mistreated, but it is not perfect.
President Obama is trying to protect these children as best he can.
People afraid of being hurt can ask for protection in the U.S.",It doesn't matter what country they come from.,Annotator1,2-23,cohesive,Level_2,Batch1+2_Annotations.csv,
"Since the Aug. 9 shooting death of Michael Brown, the nation and the world have seen the angry protests in Ferguson, Missouri.
People protesting want answers about how this young man died.
They question the fairness of our police.
I'm the top law enforcement officer and lawyer for the government.
I run the Justice Department.",It plans to learn exactly what happened.,Annotator1,2-24,cohesive,Level_1,Batch1+2_Annotations.csv,
"It wants it done within the next 12 months.
The metal suit the Army wants would certainly be awe-inspiring.
Bullets would bounce off it harmlessly.
It would be able to download live video.
These would come from remote-controlled airplanes, or drones, flying overhead.",This would allow a soldier to know what was happening nearby.,Annotator1,2-25,cohesive,Level_2,Batch1+2_Annotations.csv,
"The best hope now, Theison said, is using semen from wild elephants in Africa.
Once collected, it can be sent to zoos all over the world.
Theison said he hopes to pair a 14-year-old female with a possible mate this year.
At his zoo, elephants roam over a huge amount of land.
Few visitors bother them.",The hope is that such conditions will encourage natural breeding.,Annotator1,2-26,cohesive,Level_2,Batch1+2_Annotations.csv,
"Portsmouth helped turn the small island of Britain into a naval power.
England once ruled an empire all over the world because of its navy.
Portsmouth has been important to English rulers since the 13th century.
In 1511, shipbuilders there launched Henry VIII's ship Mary Rose.
The ship was one of the first war vessels able to fire a broadside.",It could fire shots from all the guns on one side at once.,Annotator1,2-27,cohesive,Level_2,Batch1+2_Annotations.csv,
"Now the city's new school week is mixed up.
No two days in a row end at the same time.
And moms and dads feel cheated.
Many have arranged their workweeks to spend Wednesdays with their kids.
Some children do attend church school.",But parents today are mostly non-religious.,Annotator1,2-28,cohesive,Level_1,Batch1+2_Annotations.csv,
"To do this, they look at the DNA of living species, or types, of big cat.
The DNA studies show various things.
Big cats split off from other cats about 11 million years ago.
Then about 6 million years ago another big change occurred.
Big cats split into several different species.","They became lions, tigers, jaguars and leopards.",Annotator1,2-29,cohesive,Level_2,Batch1+2_Annotations.csv,
"Then about 6 million years ago another big change occurred.
Big cats split into several different species.
They became lions, tigers, jaguars and leopards.
But there's a problem: What scientists find by looking at big cat DNA doesn't agree with what the fossils tell them.
Scientists are hoping to figure out where big cats first appeared.",But the two kinds of evidence don't point to the same place.,Annotator1,2-30,cohesive,Level_1,Batch1+2_Annotations.csv,
"He works at New York's American Museum of Natural History.
The newly found cat is probably part of a separate branch of the cat family, said Tseng.
The modern snow leopard is most likely part of the same branch.
Both are able to live high in the Tibetan mountains.
Big cats present serious problems for paleontologists.",They have existed millions of years longer than people have.,Annotator1,2-31,cohesive,Level_2,Batch1+2_Annotations.csv,
"It was his first real experience with the wilderness.
Twenty-six students from different backgrounds took part in the program.
The program is based at the University of Washington.
Its goal is to get people of different races and family backgrounds to work in conservation.
Okwu, for instance, is black.",Conservationists protect nature.,Annotator1,2-32,cohesive,Level_2,Batch1+2_Annotations.csv,
"This is why the doctors at the American Academy of Pediatrics are now saying that school should start later.
Imagine a school that starts at 8 a.m. every morning.
If it started at 9 a.m. instead, students could get an extra hour of sleep each night.
This could help students feel rested.
It may have other benefits as well.",Maybe fewer students would be absent for class.,Annotator1,2-33,cohesive,Level_2,Batch1+2_Annotations.csv,
"We're in love with this organism, McKay said.
""It's the closest thing we have to Martians.""
The scientists planned to load bits of the bacteria into a DNA sequencer.
This sequencer will show them the order of four repeating nucleotides, or chemical ""letters,"" found in the bacteria.
That order or sequence of ""letters"" makes up the bacteria's DNA.",It is the genetic code that makes it what it is.,Annotator1,2-34,cohesive,Level_2,Batch1+2_Annotations.csv,
"Obama mentioned the pope's words.
But he also spoke about his own personal story.
He was once a young boy with a mother who struggled to make ends meet.
Obama told a story about a child's chances in the United States.
He talked about a child born into one of the poorest families in America.",This child has only a tiny chance of ever becoming one of the richest people in America.,Annotator1,2-35,cohesive,Level_2,Batch1+2_Annotations.csv,
"Putin didn't care.
Russia also captured a Lithuanian fishing ship.
Russia claimed that it had sailed into Russian waters.
Even more troubling, Russia asked Lithuania to send 1,500 people who used to be Soviet citizens to Russia.
Supposedly, they hadn't joined the military when they were young men in the Soviet Union.",It gets worse.,Annotator1,2-36,incohesive,,Batch1+2_Annotations.csv,
"Cave paintings in Indonesia are much older than anyone thought.
Archaeologists have discovered that the paintings date back 40,000 years.
They were able to prove that art did not begin only in Europe.
The paintings were first found in caves on Sulawesi in the 1950s.
Sulawesi is an island in the Southwest Asian country of Indonesia.",The paintings show animals and outlines of hands.,Annotator1,2-37,cohesive,Level_2,Batch1+2_Annotations.csv,
"A little more than a day after Michael Brown was killed, the peacemakers arrived.
Brown was a black teenager without a weapon who was shot by a white police officer.
He was killed in August in Ferguson, Missouri, near St. Louis.
The shooting set off nearly nightly protests and violence.
The black community felt that Brown wouldn't have been killed if he was white.",The peacemakers came into town to help create peace between the black and white communities.,Annotator1,2-38,cohesive,Level_2,Batch1+2_Annotations.csv,
"They carry large backpacks.
Their hot breath is not good for the paintings.
Chinese and American scientists have been working together to protect the caves for more than 20 years.
They made a long-term plan to protect these caves.
The first step is to examine the caves closely.",The scientists want to learn everything they can.,Annotator1,2-39,cohesive,Level_2,Batch1+2_Annotations.csv,
"And Apple did not do enough to make it clear that their children were buying gems, coins or treats.
Parents also did not know that entering their password started a 15-minute clock.
During this time, kids could buy things without having to enter the password again.
Apple also agreed to change the way it bills customers.
It will let people know when someone buys something on a game or app.",Tim Cook is the head of Apple.,Annotator1,2-40,cohesive,Level_1,Batch1+2_Annotations.csv,
